place_ID,cell_ID,rząd,poz,fastener_name,screw_image,drive_image,drive_name_and_size,size,material,coating,strength_class,norms
A101,812,8,12,Śruba stożkowa,ISO10642.svg,Hex_Socket.svg,H4,M6x14,stal,nierdzewna,A2,ISO10642
A101,813,8,13,Nakrętka sześciokątna,DIN934.svg,Hex_External.svg,WAF10,M6,stal,mix,,DIN934
A101,814,8,14,Śruba walcowa,DIN912.svg,Hex_Socket.svg,H5,M6x30,stal,ocynkowana,8.8,DIN912
A101,815,8,15,Nakrętka sześciokątna,DIN934.svg,Hex_External.svg,WAF13,M8,stal,ocynkowana,8.8,DIN934
A101,816,8,16,Nakrętka sześciokątna,DIN934.svg,Hex_External.svg,WAF17,M10,stal,ocynkowana,8.8,DIN934
A101,901,9,1,Śruba dociskowa,ISO4026.svg,Hex_Socket.svg,H4,M8x12,stal,oksydowana,,ISO4026
A101,904,9,4,Wkręt stożkowy,DIN7504P.svg,PZ.svg,PZ2,3.9x20,stal,ocynkowana,,DIN7504P
A101,907,9,7,Nakrętka kwadratowa,DIN562.svg,Hex_External.svg,WAF10,M6,stal,ocynkowana,,DIN562
A101,908,9,8,Kołek drewniany,kolek_drewn.svg,hammer.svg,,d10x45,drewno,,,
A101,910,9,10,Uchwyt kablowy,uchwyt_kablowy.svg,hammer.svg,,6/12,plastik,,,Lexman
A101,911,9,11,Uchwyt kablowy,uchwyt_kablowy.svg,hammer.svg,,6/12,plastik,,,Lexman
A101,912,9,12,Uchwyt kablowy,uchwyt_kablowy.svg,hammer.svg,,6/12,plastik,,,Lexman
A101,913,9,13,Śruba kołnierzowa,BN1206.svg,Hex_Socket.svg,H4,M6x50,stal,ocynkowana,,BN1206
A101,914,9,14,Nakrętka sześciokątna,DIN934.svg,Hex_External.svg,WAF8,M5,nylon,,,DIN934
